samplename,B (mT),q_peak (A⁻¹),distance (A),mean_orientation (°),nematic_parameter,R2,ratio,status,error_message
lacroix_00302_2026-02-07_08-51-31.nxs,50.0,,,,,,,error,reference_file is None → skipping
S0018_M0241,50.0,[0.02947386 0.0613313  0.13532276],213.17822168868983,2.42238753298534,0.9749769298437146,0.9841062249433032,5.138062973227163,success,
S0018_M0242,50.0,[0.02947386 0.06184512 0.13326744],213.17822168868983,2.42238753298534,0.9747081510435884,0.9842118090992836,5.538129753301665,success,
S0018_M0243,50.0,[0.02947386 0.0613313  0.13532276],213.17822168868983,2.42238753298534,0.972793985336475,0.9821607958212684,4.723094748090653,success,
S0018_M0244,100.0,[0.02896003 0.0613313  0.14148871],216.96058209617408,2.42238753298534,0.9802472452846626,0.9881101934046904,7.057582896967912,success,
S0018_M0245,100.0,[0.02947386 0.0613313  0.13532276],213.17822168868983,2.42238753298534,0.9797120705141186,0.9850098432413232,6.593921453621864,success,
S0018_M0246,100.0,[0.02947386 0.06184512 0.12504616],213.17822168868983,2.42238753298534,0.9800468822632776,0.983799281479353,6.358463295528577,success,
S0018_M0247,300.0,[0.02947386 0.06184512 0.12555999],213.17822168868983,2.42238753298534,0.986798130667508,0.9880369071449966,12.82448499305426,success,
S0018_M0248,300.0,[0.02947386 0.06030364 0.09832703],213.17822168868983,2.42238753298534,0.9863104723700732,0.987646689206297,12.576850524365092,success,
S0018_M0249,300.0,[0.02947386 0.06030364 0.09935468],213.17822168868983,2.42238753298534,0.9875236033171856,0.9884872043322896,13.282332447686525,success,
S0018_M0250,700.0,[0.02896003 0.05978981 0.13275361],216.96058209617408,2.42238753298534,0.9921681186032016,0.9941659002578324,16.471043958373674,success,
S0018_M0251,700.0,[0.02896003 0.06081747 0.10397915],216.96058209617408,2.42238753298534,0.992338857597592,0.9942500928846374,16.702045686434666,success,
S0018_M0252,700.0,[0.02896003 0.0613313  0.09935468],216.96058209617408,2.42238753298534,0.9924101443219966,0.994111006454768,16.604009886552298,success,
S0018_M0253,800.0,[0.02896003 0.0613313  0.1240185 ],216.96058209617408,2.42238753298534,0.9893669428227068,0.9942241788009784,14.325428432715,success,
lacroix_00316_2026-02-07_10-06-19.nxs,0.0,,,,,,,error,'Unable to synchronously open object (component not found)'
S0018_M0255,800.0,[0.02896003 0.0613313  0.14662701],216.96058209617408,2.42238753298534,0.9788562460938967,0.9928508058008956,11.479302700031205,success,
